ch_pr_var,SEA,STEA,More Info
08_01_FV,10000,,
08_01_periods,8,,
08_01_i,0.06,,
08_01_PV,-6274.123713,,
08_02a_PV,8000,,
08_02b_periods,10,,
08_02a_i,0.072,,
08_02a_FV,-16033.85089,,
08_02b_PV,52000,,
08_02b_periods,5,,
08_02b_int,0.08,,
08_02b_FV,-76405.05999,,
08_03_series,6000,,
08_03_periods,5,,
08_03_i,0.08,,
08_03_PV,-23956.26022,,
08_04_series_base,1000,,
08_04_series_inc,0.08,,
08_04_period_start,0,,
08_04_periods,20,,
08_04_i,0.08,,
08_04_g,0.08,,
08_04_g_prime,0,,
08_04_array,,,
08_04_PV,18518.51852,,page 210
08_05_series_base,1000000,,
08_05_series_inc,-0.25,,
08_05_periods,4,,
08_05_i,0.06,,
08_05_g,,,
08_05_g_prime,0.413333333,,
08_05_PV,shown in solutions,,
